lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
0.074539106,0.074337097,0.074029759,0.073511761,0.07267786,0.071453088,0.069837273,0.067841586,0.065477202,0.062755291,0.059687027,0.056283582,0.05255613,0.048515843,0.044173893,0.039541454,0.034629697,0.029449796,0.024012924,0.018330252,0.012412954,0.006272203,-8.08E-05,-0.00663497,-0.013379047,-0.020301886,-0.027392315,-0.034639162,-0.042031254,-0.049557418,-0.057206482,-0.064967272,-0.072828617,-0.080779343,-0.088808278,-0.096904248,-0.105056083,-0.113252608,-0.121482651,-0.129735039,-0.1379986
0.073858627,0.073404432,0.072854029,0.072111212,0.071079851,0.069691472,0.067945916,0.065853389,0.063424096,0.060668241,0.05759603,0.054217668,0.050543359,0.04658331,0.042347724,0.037846807,0.033090763,0.028089799,0.022854119,0.017393928,0.011719431,0.005840833,-0.000231661,-0.006487845,-0.012917515,-0.019510466,-0.026256493,-0.03314539,-0.040166953,-0.047310976,-0.054567255,-0.061925584,-0.069375758,-0.076907573,-0.084510823,-0.092175304,-0.099890809,-0.107647135,-0.115434076,-0.123241427,-0.131058983
0.072298909,0.071656199,0.070925593,0.070019194,0.068849177,0.067352984,0.06553047,0.063390957,0.06094377,0.058198231,0.055163665,0.051849395,0.048264745,0.044419037,0.040321595,0.035981743,0.031408804,0.026612102,0.021600961,0.016384702,0.010972651,0.005374131,-0.000401536,-0.006345025,-0.012447013,-0.018698176,-0.025089192,-0.031610736,-0.038253486,-0.045008117,-0.051865306,-0.05881573,-0.065850065,-0.072958988,-0.080133175,-0.087363303,-0.094640049,-0.101954088,-0.109296098,-0.116656754,-0.124026734
0.070006871,0.069229915,0.068372667,0.067354834,0.066096191,0.06453959,0.0626849,0.060540637,0.058115318,0.055417459,0.052455578,0.049238192,0.045773816,0.042070969,0.038138168,0.033983928,0.029616766,0.0250452,0.020277747,0.015322923,0.010189245,0.00488523,-0.000580605,-0.006199743,-0.011963668,-0.017863863,-0.02389181,-0.030038993,-0.036296895,-0.042657,-0.049110789,-0.055649748,-0.062265358,-0.068949102,-0.075692465,-0.082486929,-0.089323977,-0.096195093,-0.103091759,-0.110005458,-0.116927675
0.067129435,0.066263096,0.065323467,0.064237259,0.062931243,0.061353255,0.059503175,0.057388777,0.055017835,0.052398122,0.049537414,0.046443484,0.043124105,0.039587053,0.035840101,0.031891024,0.027747594,0.023417588,0.018908777,0.014228938,0.009385843,0.004387266,-0.000759017,-0.006045234,-0.01146361,-0.017006371,-0.022665743,-0.028433951,-0.034303223,-0.040265784,-0.046313859,-0.052439674,-0.058635457,-0.064893432,-0.071205825,-0.077564863,-0.083962771,-0.090391775,-0.096844102,-0.103311976,-0.109787625
0.06381352,0.062893257,0.061906211,0.060785597,0.059464685,0.057895944,0.056079263,0.054021726,0.051730417,0.04921242,0.046474819,0.043524698,0.040369142,0.037015233,0.033470056,0.029740696,0.025834235,0.021757759,0.01751835,0.013123094,0.008579074,0.003893374,-0.000926923,-0.005874731,-0.010942967,-0.016124547,-0.021412387,-0.026799403,-0.032278511,-0.037842627,-0.043484667,-0.049197547,-0.054974183,-0.060807491,-0.066690387,-0.072615786,-0.078576606,-0.084565762,-0.09057617,-0.096600746,-0.102632406
0.060206046,0.059257916,0.058249115,0.057118973,0.055806869,0.054269622,0.05250713,0.050525831,0.048332159,0.04593255,0.043333439,0.040541263,0.037562456,0.034403454,0.031070693,0.027570608,0.023909634,0.020094208,0.016130765,0.012025739,0.007785568,0.003416686,-0.001074471,-0.005681468,-0.010397868,-0.015217238,-0.02013314,-0.025139139,-0.030228801,-0.035395689,-0.040633368,-0.045935402,-0.051295356,-0.056706794,-0.062163281,-0.067658382,-0.073185659,-0.078738679,-0.084311006,-0.089896203,-0.095487837
0.056447162,0.055488242,0.054474473,0.053351006,0.052063035,0.050571523,0.048876379,0.046983422,0.044898468,0.042627338,0.040175847,0.037549816,0.034755061,0.0317974,0.028682652,0.025416635,0.022005166,0.018454065,0.014769148,0.010956234,0.007021141,0.002969687,-0.00119231,-0.005459031,-0.00982466,-0.014283377,-0.018829366,-0.023456806,-0.028159882,-0.032932774,-0.037769665,-0.042664736,-0.047612169,-0.052606147,-0.057640852,-0.062710464,-0.067809167,-0.072931142,-0.078070572,-0.083221637,-0.08837852
0.052594854,0.051638426,0.050632721,0.049528462,0.048276414,0.046841503,0.045223648,0.043428078,0.041460017,0.039324695,0.037027336,0.034573169,0.03196742,0.029215317,0.026322086,0.023292953,0.020133147,0.016847895,0.013442422,0.009921956,0.006291724,0.002556953,-0.00127713,-0.005205298,-0.009222325,-0.013322983,-0.017502045,-0.021754284,-0.026074474,-0.030457388,-0.034897798,-0.039390477,-0.043930199,-0.048511737,-0.053129863,-0.057779351,-0.062454974,-0.067151505,-0.071863716,-0.076586382,-0.081314274
0.048652427,0.047711422,0.046726469,0.045653622,0.044448967,0.043081227,0.041550328,0.039860933,0.038017704,0.036025301,0.033888386,0.031611621,0.029199669,0.026657189,0.023988845,0.021199298,0.018293209,0.01527524,0.012150052,0.008922309,0.00559667,0.002177798,-0.001329646,-0.004920999,-0.008591601,-0.012336789,-0.016151902,-0.020032279,-0.023973257,-0.027970175,-0.032018372,-0.036113185,-0.040249953,-0.044424014,-0.048630707,-0.05286537,-0.057123342,-0.06139996,-0.065690563,-0.069990489,-0.074295077
0.044622197,0.043709259,0.042757464,0.041727956,0.04058191,0.03929167,0.037857171,0.036282536,0.034571886,0.032729343,0.030759028,0.028665064,0.026451571,0.024122672,0.021682488,0.01913514,0.016484751,0.013735442,0.010891335,0.007956552,0.004935213,0.001831441,-0.001350642,-0.004606915,-0.007933257,-0.011325545,-0.014779658,-0.018291474,-0.021856872,-0.02547173,-0.029131927,-0.032833339,-0.036571847,-0.040343328,-0.044143661,-0.047968724,-0.051814395,-0.055676552,-0.059551075,-0.063433841,-0.067320729
0.040506477,0.039633964,0.038727451,0.03775294,0.036676457,0.035473806,0.034144929,0.032693433,0.031122924,0.029437009,0.027639295,0.025733388,0.023722893,0.021611419,0.01940257,0.017099954,0.014707177,0.012227845,0.009665566,0.007023944,0.004306588,0.001517102,-0.001340906,-0.004263829,-0.007248063,-0.010289999,-0.013386032,-0.016532555,-0.019725962,-0.022962646,-0.026239001,-0.02955142,-0.032896297,-0.036270026,-0.039669,-0.043089613,-0.046528257,-0.049981328,-0.053445218,-0.05691632,-0.06039103
0.036307584,0.035487565,0.034638176,0.033730044,0.032733824,0.031628609,0.030414353,0.02909417,0.027671176,0.026148487,0.024529218,0.022816484,0.021013401,0.019123084,0.017148649,0.015093212,0.012959887,0.010751791,0.008472039,0.006123746,0.003710028,0.001234,-0.001301222,-0.003892523,-0.006536787,-0.009230899,-0.011971743,-0.014756204,-0.017581167,-0.020443515,-0.023340133,-0.026267907,-0.029223719,-0.032204456,-0.035207001,-0.038228239,-0.041265054,-0.044314331,-0.047372955,-0.05043781,-0.05350578
0.032027832,0.031272091,0.030491384,0.029660743,0.028755223,0.027757055,0.026666196,0.025485296,0.024217002,0.022863963,0.021428828,0.019914244,0.018322859,0.016657323,0.014920282,0.013114387,0.011242284,0.009306622,0.00731005,0.005255216,0.003144767,0.000981353,-0.001232378,-0.003493779,-0.005800201,-0.008148995,-0.010537513,-0.012963108,-0.01542313,-0.017914931,-0.020435864,-0.022983279,-0.025554529,-0.028146966,-0.03075794,-0.033384804,-0.03602491,-0.038675608,-0.041334252,-0.043998192,-0.04666478
