lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
0.088119005,0.0872283,0.086231472,0.085022401,0.08349505,0.081573889,0.079258742,0.076560867,0.07349152,0.070061957,0.066283437,0.062167214,0.057724547,0.052966691,0.047904903,0.042550441,0.036914561,0.031008519,0.024843573,0.018430978,0.011781993,0.004907873,-0.002180125,-0.009470744,-0.016952727,-0.024614818,-0.03244576,-0.040434295,-0.048569169,-0.056839122,-0.0652329,-0.073739245,-0.082346901,-0.09104461,-0.099821117,-0.108665164,-0.117565494,-0.126510852,-0.135489979,-0.14449162,-0.153504518
0.085260277,0.084287079,0.083214961,0.081944999,0.080378354,0.078444619,0.076143631,0.073485883,0.070481868,0.06714208,0.06347701,0.059497152,0.055212999,0.050635044,0.045773779,0.040639698,0.035243294,0.029595059,0.023705486,0.017585069,0.0112443,0.004693673,-0.002056321,-0.008995187,-0.016112433,-0.023397566,-0.030840093,-0.038429522,-0.046155358,-0.05400711,-0.061974284,-0.070046388,-0.078212928,-0.086463411,-0.094787345,-0.103174237,-0.111613593,-0.120094921,-0.128607728,-0.137141521,-0.145685807
0.081873528,0.080844299,0.079723173,0.078418252,0.076837714,0.074916152,0.072653415,0.070059251,0.067143407,0.063915631,0.060385671,0.056563276,0.052458192,0.048080168,0.043438951,0.03854429,0.033405933,0.028033627,0.022437119,0.016626159,0.010610493,0.00439987,-0.001995962,-0.008567256,-0.015304264,-0.022197237,-0.029236429,-0.03641209,-0.043714474,-0.051133832,-0.058660417,-0.066284481,-0.073996275,-0.081786052,-0.089644064,-0.097560564,-0.105525803,-0.113530033,-0.121563507,-0.129616476,-0.137679194
0.078060811,0.076998403,0.075850942,0.074533373,0.072960713,0.071072426,0.068868372,0.066357573,0.06354905,0.060451825,0.057074921,0.053427359,0.049518161,0.04535635,0.040950946,0.036310973,0.031445451,0.026363404,0.021073852,0.015585818,0.009908323,0.00405039,-0.00197896,-0.008170704,-0.014515821,-0.021005289,-0.027630085,-0.034381189,-0.041249577,-0.048226229,-0.055302122,-0.062468234,-0.069715543,-0.077035028,-0.084417666,-0.091854436,-0.099336315,-0.106854282,-0.114399315,-0.121962391,-0.12953449
0.073924176,0.072847834,0.071693099,0.070381575,0.068834933,0.066997377,0.064868778,0.062457451,0.059771712,0.056819877,0.05361026,0.050151177,0.046450944,0.042517877,0.038360291,0.033986501,0.029404823,0.024623572,0.019651065,0.014495616,0.009165541,0.003669156,-0.001985225,-0.007789284,-0.013734708,-0.01981318,-0.026016385,-0.032336007,-0.03876373,-0.045291241,-0.051910221,-0.058612357,-0.065389333,-0.072232833,-0.079134542,-0.086086143,-0.093079323,-0.100105764,-0.107157152,-0.114225171,-0.121301505
0.069565675,0.068491037,0.067344476,0.06605407,0.064547955,0.062774941,0.060734909,0.058435489,0.05588431,0.053088999,0.050057188,0.046796505,0.043314578,0.039619037,0.035717511,0.031617629,0.027327021,0.022853314,0.018204139,0.013387124,0.008409899,0.003280092,-0.001994667,-0.00740675,-0.012948527,-0.018612369,-0.024390647,-0.030275732,-0.036259995,-0.042335807,-0.048495539,-0.054731562,-0.061036246,-0.067401963,-0.073821083,-0.080285978,-0.086789018,-0.093322575,-0.099879019,-0.106450721,-0.113030052
0.065082681,0.064021933,0.062895543,0.061637867,0.060183317,0.058485171,0.056543321,0.054364731,0.051956364,0.049325182,0.046478148,0.043422226,0.040164378,0.036711567,0.033070757,0.029248909,0.025252988,0.021089955,0.016766775,0.012290409,0.007667822,0.002905975,-0.001988167,-0.007007643,-0.01214549,-0.017394743,-0.022748441,-0.02819962,-0.033741318,-0.039366571,-0.045068417,-0.050839892,-0.056674034,-0.06256388,-0.068502466,-0.07448283,-0.080498008,-0.086541039,-0.092604958,-0.098682804,-0.104767612
0.060515794,0.059479588,0.058383829,0.057168962,0.055775482,0.054161002,0.052325425,0.050275067,0.048016245,0.045555277,0.042898479,0.040052169,0.037022664,0.03381628,0.030439335,0.026898146,0.02319903,0.019348305,0.015352286,0.011217292,0.006949639,0.002555644,-0.001958375,-0.006586102,-0.011321218,-0.016157409,-0.021088355,-0.02610774,-0.031209248,-0.03638656,-0.041633361,-0.046943332,-0.052310157,-0.057727518,-0.063189099,-0.068688583,-0.074219652,-0.079775989,-0.085351278,-0.0909392,-0.09653344
0.055867833,0.054866558,0.05381163,0.052649399,0.051326255,0.049804014,0.048082585,0.046167661,0.044064932,0.041780089,0.039318824,0.036686828,0.033889791,0.030933404,0.02782336,0.024565348,0.02116506,0.017628186,0.013960419,0.010167448,0.006254965,0.002228662,-0.001905772,-0.006142644,-0.010476265,-0.014900942,-0.019410985,-0.024000702,-0.028664403,-0.033396397,-0.038190992,-0.043042498,-0.047945223,-0.052893477,-0.057881568,-0.062903805,-0.067954498,-0.073027955,-0.078118485,-0.083220397,-0.088328
0.051140934,0.050184737,0.049180607,0.04808061,0.046836851,0.045415215,0.043815623,0.042043159,0.040102908,0.037999954,0.035739381,0.033326275,0.030765719,0.028062798,0.025222596,0.022250198,0.019150689,0.015929152,0.012590673,0.009140336,0.005583225,0.001924424,-0.001830981,-0.005677907,-0.009611269,-0.013625982,-0.017716962,-0.021879125,-0.026107385,-0.030396659,-0.034741863,-0.039137911,-0.043579719,-0.048062203,-0.052580278,-0.05712886,-0.061702864,-0.066297207,-0.070906802,-0.075526567,-0.080151415
0.046337232,0.045436022,0.044492418,0.043464024,0.042308482,0.040995618,0.039525361,0.037902208,0.036130657,0.034215205,0.032160347,0.029970582,0.027650406,0.025204316,0.022636809,0.019952382,0.017155532,0.014250756,0.01124255,0.008135412,0.004933838,0.001642326,-0.001734628,-0.005192526,-0.008726872,-0.012333169,-0.01600692,-0.019743628,-0.023538796,-0.027387926,-0.031286524,-0.03523009,-0.039214129,-0.043234143,-0.047285636,-0.05136411,-0.055465069,-0.059584015,-0.063716452,-0.067857884,-0.072003812
0.04145886,0.040622306,0.039748721,0.038801074,0.037742363,0.036546232,0.035212619,0.033745454,0.032148664,0.030426176,0.02858192,0.026619822,0.024543812,0.022357817,0.020065765,0.017671584,0.015179203,0.012592548,0.009915549,0.007152133,0.004306229,0.001381764,-0.001617334,-0.004687136,-0.007823715,-0.011023143,-0.01428149,-0.017594831,-0.020959235,-0.024370777,-0.027825526,-0.031319556,-0.034848938,-0.038409744,-0.041998046,-0.045609917,-0.049241428,-0.052888651,-0.056547658,-0.060214521,-0.063885312
0.036507955,0.035745486,0.034951178,0.034093189,0.033139706,0.032068067,0.03087822,0.029573542,0.02815741,0.026633203,0.025004296,0.023274068,0.021445896,0.019523157,0.017509229,0.015407489,0.013221314,0.010954083,0.008609171,0.006189957,0.003699819,0.001142132,-0.001479725,-0.004162374,-0.006902439,-0.009696542,-0.012541306,-0.015433353,-0.018369307,-0.021345788,-0.024359421,-0.027406828,-0.030484631,-0.033589453,-0.036717917,-0.039866645,-0.04303226,-0.046211385,-0.049400642,-0.052596653,-0.055796042
0.031486651,0.030807456,0.030101445,0.0293418,0.028501725,0.027562135,0.026522984,0.025387118,0.024157381,0.022836618,0.021427673,0.019933391,0.018356616,0.016700193,0.014966966,0.013159781,0.011281481,0.009334911,0.007322917,0.005248341,0.00311403,0.000922827,-0.001322423,-0.003618875,-0.005963685,-0.008354008,-0.010786999,-0.013259815,-0.01576961,-0.01831354,-0.020888761,-0.023492427,-0.026121694,-0.028773718,-0.031445654,-0.034134657,-0.036837883,-0.039552488,-0.042275626,-0.045004453,-0.047736125
0.026397082,0.025810112,0.025201183,0.024548337,0.023829634,0.023029445,0.022147733,0.021186829,0.02014906,0.019036757,0.017852248,0.016597863,0.015275931,0.013888781,0.012438742,0.010928144,0.009359316,0.007734587,0.006056286,0.004326742,0.002548285,0.000723244,-0.001146052,-0.003057274,-0.005008093,-0.006996179,-0.009019203,-0.011074836,-0.013160748,-0.015274611,-0.017414096,-0.019576872,-0.021760612,-0.023962985,-0.026181662,-0.028414315,-0.030658614,-0.03291223,-0.035172833,-0.037438095,-0.039705685
